Survey Name, ,TGS Revenue ,TGS Cost,SWG Win Rate,SWG Cost,TGS Duration,Day Rate,Activity,Company,Survey Company,Vessel,Client,Country,Complete,Mobilisation Location,Mobilisation Start,Deployment Start,Production Start,Production End,Retrieval End,Demobilisation End,Mobilization (days),Deployment (days),Production (days),Recovery (days),Demobilization (days),Project Duration
Laxmi Basin National Seismic Program (NSP) 2D,2D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Thuridur,ONGC,India,Yes,Off Mumbai -  INDIA,2024-11-16,2024-11-23,2024-11-25,2025-03-15,2025-03-16,2025-03-21,7.0,2.0,110.0,1.0,5.0,125.0
Payara East 4D OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,Island Pride,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,At Sea -  GUYANA,2025-10-09,2025-10-09,2025-10-09,2025-10-20,2025-10-20,2025-10-20,0.0,0.0,11.0,0.0,0.0,11.0
Payara East 4D OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,Island Pride,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,At Sea -  GUYANA,2025-10-27,2025-10-27,2025-10-27,2025-10-31,2025-10-31,2025-10-31,0.0,0.0,4.0,0.0,0.0,4.0
Payara East 4D OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,Island Pride,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,At Sea -  GUYANA,2025-11-28,2025-12-01,2025-12-01,2025-12-09,2025-12-09,2025-12-11,3.0,0.0,8.0,0.0,2.0,13.0
Payara East 4D OBN,OBN,,,,,,,Source,Shearwater,Shearwater,Amazon Warrior,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,At Sea -  GUYANA,2025-11-18,,2025-11-18,2025-12-01,2025-12-01,2025-12-03,,,13.0,0.0,2.0,15.0
Pelotas Basin Phase I 3D,3D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Empress,Searcher / Shearwater,Brazil,Yes,Off Rio de Janeiro -  BRAZIL,2024-12-17,2024-12-27,2025-01-06,2025-02-01,,2025-02-01,10.0,10.0,26.0,,,46.0
Pelotas Basin Phase II 3D,3D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Empress,Searcher / Shearwater,Brazil,Yes,At Sea -  BRAZIL,2025-02-01,,2025-02-01,2025-05-15,2025-05-19,2025-05-24,,,103.0,4.0,5.0,112.0
Pelotas Basin Phase III 3D,3D,," $30,469,160 "," $27,422,244.0 ",,,#DIV/0!,,Shearwater,Shearwater,SW Empress,Searcher / Shearwater,Brazil,In Progress,Off Rio Grande -  BRAZIL,2025-11-22,2025-11-26,2025-11-30,,,,4.0,4.0,,,,
Stabroek 4D OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,Island Pride,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,At Sea -  GUYANA,2025-10-31,2025-10-31,2025-10-31,2025-11-28,2025-11-28,2025-11-28,0.0,0.0,28.0,0.0,0.0,28.0
Stabroek 4D OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,Island Pride,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,Carenage -  TRINIDAD AND TOBAGO,2025-04-16,2025-04-21,2025-04-25,2025-10-02,2025-10-02,2025-10-09,5.0,4.0,160.0,0.0,7.0,176.0
Stabroek 4D OBN,OBN,,,,,,,Source,Shearwater,Shearwater,Amazon Warrior,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,Carenage -  TRINIDAD AND TOBAGO,2025-04-20,2025-05-01,2025-05-04,2025-11-18,,2025-11-18,11.0,3.0,198.0,,,212.0
Stabroek 4D OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,Island Pride,ExxonMobil Guyana Limited (EMGL),Guyana,Yes,At Sea -  GUYANA,2025-10-20,2025-10-20,2025-10-20,2025-10-27,2025-10-27,2025-10-27,0.0,0.0,7.0,0.0,0.0,7.0
STP02 3D,3D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Empress,TotalEnergies,Sao Tome and Principe,Yes,Sao Tome -  SAO TOME AND PRINCIPE,2025-07-01,2025-07-04,2025-07-22,2025-09-24,2025-09-28,2025-10-01,3.0,18.0,64.0,4.0,3.0,92.0
Tartaruga Verde B1 4D,4D,,,,,,#DIV/0!,,Shearwater,Shearwater,Oceanic Vega,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,2025-03-11,2025-03-15,2025-03-19,2025-03-31,,2025-04-02,4.0,4.0,12.0,,,22.0
Tartaruga Verde B1 4D,4D,,,,,,#DIV/0!,,Shearwater,Shearwater,Oceanic Vega,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,2025-06-24,2025-06-26,2025-07-01,2025-07-15,2025-07-16,2025-07-20,2.0,5.0,14.0,1.0,4.0,26.0
Tartaruga Verde B1 Undershoot,Undershoot,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Duchess,Petrobras,Brazil,Yes,At Sea -  BRAZIL,2025-06-30,2025-06-30,2025-07-01,2025-07-15,2025-07-15,2025-07-15,0.0,1.0,14.0,0.0,0.0,15.0
Tartaruga Verde B1 4D,4D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Duchess,Petrobras,Brazil,Yes,Niteroi -  BRAZIL,2025-06-06,2025-06-11,2025-06-16,2025-06-28,2025-06-30,2025-06-30,5.0,5.0,12.0,2.0,0.0,24.0
Tartaruga Verde B1 4D,4D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Duchess,Petrobras,Brazil,Yes,At Sea -  BRAZIL,2025-07-15,2025-07-15,2025-07-18,2025-09-10,2025-09-13,2025-09-18,0.0,3.0,54.0,3.0,5.0,65.0
Western Niger Delta 3D,3D,," $30,469,160 "," $27,422,244.0 ",,,#DIV/0!,,Shearwater,Shearwater,SW Duchess,Shearwater / Harvex Geosolutions Limited / Nigerian Upstream Petroleum Regulatory Commission (NUPRC),Nigeria,In Progress,Off Lagos -  NIGERIA,2025-12-28,2026-01-18,,,,,21.0,,,,,
 2D,2D,," $30,469,160 "," $27,422,244.0 ",,,#DIV/0!,,Shearwater,Shearwater,SW Empress,,Sao Tome and Principe,Yes,Off Sao Tome -  SAO TOME AND PRINCIPE,2025-10-01,2025-10-03,2025-10-06,2025-10-22,2025-10-24,2025-10-25,2.0,3.0,16.0,2.0,1.0,24.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
